"","ibge_code","ibge_name","taxes_2010","taxes_2014","gdp_2010","gdp_2014","pop_2010","pop_2014","taxes_per_capita","taxes_per_gdp","taxes_growth","gdp_growth","pop_growth","Center","Left","Right","Total","delta"
"1",3520426,"Ilha Comprida",3271.334,27364.676,87401.941,3818605.266,9027,10102,2.70883745792912,0.00716614420549013,0.700655530562682,1.57096356760052,0.0285276714669904,7,2917,2516,5440,0.0737132352941176
"2",3520400,"Ilhabela",22625.849,72579.436,372951.927,6772116.693,28176,31599,2.29689028133802,0.010717392993984,0.338295988449888,1.06427662292365,0.0290784887749029,8,8393,6953,15354,0.0937866354044549
"3",2110302,"Santo Antônio dos Lopes",3270.736,86252.649,72776.268,830653.938,14288,14270,6.04433419761738,0.103837043387375,1.26611391582999,0.838051124178845,-0.000315098507383982,2,7211,1020,8233,0.751973764120005
"4",2408805,"Parazinho",908.261,8209.736,20800.033,231932.11,4845,5127,1.6012748195826,0.0353971513474353,0.733922297021147,0.827360418925315,0.014243852406254,3,2823,619,3445,0.639767779390421
"5",2403004,"Cruzeta",4513.069,10113.672,46088.36,444794.831,7968,8173,1.23744916187446,0.022737836177777,0.223514788026819,0.762552732830268,0.00637083756604562,4,4043,1070,5117,0.581004494821184
"6",5206305,"Cristianópolis",3178.006,63132.904,41853.657,378970.275,2933,3020,20.9049350993377,0.166590648831231,1.11118000213159,0.734674259045448,0.00733452719068195,1,1142,1215,2358,-0.0309584393553859
"7",5106299,"Paranaíta",8173.452,37484.935,106420.805,881349.81,10690,10823,3.46345144599464,0.0425312793792966,0.463399193667081,0.696408515655539,0.00309597623463298,0,2529,2938,5467,-0.0748125114322297
"8",3520301,"Iguape",11177.607,26119.208,269465.756,1681114.575,28844,30259,0.863188076274827,0.0155368398968286,0.236382336721004,0.580423332549471,0.0120448777231266,1,9191,5472,14664,0.253614293507911
"9",3203320,"Marataízes",22108.874,54281.383,746058.643,4394522.493,34147,37535,1.44615380311709,0.0123520548788781,0.251760001002335,0.557882437602675,0.0239316477542211,5,12953,6045,19003,0.363521549229069
"10",3135407,"Jeceaba",38463.881,117526.242,128821.271,722374.887,5396,5340,22.0086595505618,0.162694252132826,0.322118666060805,0.53884105691468,-0.00260467328005798,0,2029,1901,3930,0.0325699745547074
"11",1507979,"Terra Santa",2096.065,5938.126,71984.328,400111.571,16952,17783,0.333921498059945,0.0148411753880519,0.297361977255316,0.53545039012595,0.0120361392498749,1,5928,1952,7881,0.504504504504504
"12",4212056,"Palmeira",4303.109,27878.998,54260.288,301236.488,2376,2512,11.0983272292994,0.0925485427914031,0.595415119208878,0.534992897393446,0.0140124789766873,0,992,1190,2182,-0.0907424381301558
"13",3202801,"Itapemirim",31817.261,86803.759,1345406.06,7275310.204,30988,33952,2.55666113925542,0.0119312794322192,0.285194728401753,0.524928685347602,0.0230996915484123,2,12621,5805,18428,0.369871934013458
"14",1301308,"Codajás",7542.299,2595.002,120603.174,651970.958,23119,26242,0.0988873561466352,0.00398024170886458,-0.234123951445791,0.5248157817479,0.0321836406576459,1,7908,1228,9137,0.731093356681624
"15",3302700,"Maricá",69741.581,169319.873,1873273.354,9752909.863,127519,143111,1.18313667712475,0.0173609594857793,0.248257075441723,0.510543594907059,0.0292586594138085,53,51097,14784,65934,0.550747717414384
"16",3154507,"Riacho dos Machados",937.93,4980.233,33829.531,170538.319,9360,9650,0.516086321243523,0.0292030144849733,0.51799313896792,0.498412889474892,0.00765732471910185,2,4227,800,5029,0.681447603897395
"17",1508357,"Vitória do Xingu",2442.397,136351.854,92756.227,458137.295,13480,14242,9.57392599354023,0.297622253171945,1.73345039768215,0.490778576889137,0.0138419853310807,0,4548,2458,7006,0.298315729374822
"18",2401651,"Bodó",1198.784,21123.95,16762.481,82107.118,2425,2385,8.85700209643606,0.257273066142694,1.04884237708088,0.487683778207153,-0.00414946708410069,0,1651,347,1998,0.652652652652653
"19",4202107,"Barra Velha",41861.825,259596.812,365510.57,1789746.588,22403,25662,10.1160007793625,0.145046686352448,0.578048327327005,0.487554549875814,0.0345371255592526,3,6747,6306,13056,0.0337775735294118
"20",1500602,"Altamira",74882.878,271889.124,842407.869,3950289.445,105030,106768,2.54654132324292,0.0688276461220173,0.380391660894807,0.471555430873,0.00411148719903243,11,29040,16304,45355,0.280806967258296
"21",3303807,"Paraty",29252.321,75852.272,809203.107,3667570.401,37575,39965,1.89796752158138,0.0206818857463017,0.268972077014241,0.459083779169927,0.0155357277681463,20,10466,7235,17721,0.182326053834434
"22",5203203,"Barro Alto",28624.61,57590.449,124125.855,555903.447,8701,9820,5.86460784114053,0.103597934696742,0.190975209343063,0.45473630865499,0.0307078407038792,2,3161,2226,5389,0.173501577287066
"23",5216908,"Pilar de Goiás",1405.458,14760.058,26168.781,112796.792,2766,2658,5.55306922498119,0.13085529950178,0.800186697033179,0.440881661102498,-0.00990766075446936,0,1342,703,2045,0.312469437652812
"24",1716505,"Pedro Afonso",17310.551,72970.27,175468.04,701436.218,11542,12698,5.74659552685462,0.104029800753744,0.432876517457122,0.41399391456075,0.0241499855086291,2,4443,1684,6129,0.450155000815794
"25",3509957,"Canas",1460.584,4555.773,28773.601,111576.146,4387,4788,0.951498120300752,0.0408310661671358,0.328950743278873,0.403279836003455,0.02210762185369,0,1542,1241,2783,0.108156665468918
"26",3302106,"Itaocara",14934.174,120702.071,256885.012,993521.262,22902,22824,5.28838376270592,0.12148916748598,0.68610019524258,0.402360271876315,-0.000852543647967607,28,7478,5846,13352,0.122228879568604
